카페이름,별점,방문자리뷰수,블로그리뷰수,주소,영업시간,전화번호,연결사이트,설명,메뉴,키워드,latitude,longitude
피쉬마운트커피 범물점,0.0,78,9,대구 수성구 지범로40길 6 상가동 111호,10:00 - 22:00,0507-1493-8677,NO INFO,카페3.0에서 피쉬마운트 범물점으로 새롭게 확장이전 했습니다.,NO INFO,"{'커피가 맛있어요': '60', '친절해요': '38', '음료가 맛있어요': '27', '가성비가 좋아요': '13', '특별한 메뉴가 있어요': '13', '대화하기 좋아요': '11', '매장이 청결해요': '10', '인테리어가 멋져요': '6', '디저트가 맛있어요': '3', '좌석이 편해요': '1'}",35.819189,128.6403273
북카페커피하우스,4.31,387,0,대구 수성구 지범로41길 36,NO INFO,053-782-9758,NO INFO,NO INFO,NO INFO,"{'친절해요': '113', '가성비가 좋아요': '61', '음식이 맛있어요': '51', '매장이 청결해요': '40', '뷰가 좋아요': '24', '특별한 메뉴가 있어요': '12', '인테리어가 멋져요': '10', '주차하기 편해요': '10', '재료가 신선해요': '9', '매장이 넓어요': '9', '화장실이 깨끗해요': '7', '혼밥하기 좋아요': '6', '양이 많아요': '6', '특별한 날 가기 좋아요': '3', '단체모임 하기 좋아요': '1'}",35.8212966,128.6462782
카페 메숲,0.0,222,118,대구 수성구 지범로46길 13-1,NO INFO,0507-1378-6782,https://www.instagram.com/cafe_maesoop/,"산에 나무가 우거진 숲, 메숲입니다 :)

오랜 애착을 담아낸 커피와

희귀 관엽식물, 괴근식물 등 일상을 함께할 반려식물을 분양합니다.",NO INFO,"{'인테리어가 멋져요': '144', '커피가 맛있어요': '138', '친절해요': '94', '디저트가 맛있어요': '66', '음료가 맛있어요': '61', '매장이 청결해요': '56', '사진이 잘 나와요': '52', '특별한 메뉴가 있어요': '49', '대화하기 좋아요': '24', '뷰가 좋아요': '21', '가성비가 좋아요': '17', '화장실이 깨끗해요': '12', '주차하기 편해요': '8', '집중하기 좋아요': '6', '좌석이 편해요': '5', '차분한 분위기에요': '1', '컨셉이 독특해요': '1'}",35.8166089,128.6441289
말카커피,4.5,58,0,대구 수성구 지범로46길 19 1층 말카커피,09:00 - 22:30,0507-1490-0729,NO INFO,여유로운 시간과 커피한잔. 여름엔 빙수맛집 겨울엔 따끈한 군고구마까지~,NO INFO,"{'커피가 맛있어요': '30', '친절해요': '16', '디저트가 맛있어요': '8', '대화하기 좋아요': '8', '음료가 맛있어요': '7', '가성비가 좋아요': '6', '특별한 메뉴가 있어요': '6', '좌석이 편해요': '2', '매장이 청결해요': '2', '인테리어가 멋져요': '1', '집중하기 좋아요': '1', '뷰가 좋아요': '1'}",35.8159913,128.6434439
카페프랑세,0.0,7,5,대구 수성구 지범로46길 29 카페프랑세,NO INFO,NO INFO,NO INFO,"핸드드립 커피, 원두커피, 로스터스 카페 카페프랑세 입니다",NO INFO,{},35.8154817,128.6431248
지유명차 대구지산범물점,0.0,9,19,대구 수성구 지범로46길 48 1F,NO INFO,0507-1333-3642,http://www.instagram.com/steady_gu,지유명차를 이용해 주셔서 대단히 감사합니다.,NO INFO,{},35.814184,128.641982
예쁜하루디저트카페,4.24,52,17,대구 수성구 지범로46길 9 1층,09:00 - 21:00,070-8862-0200,http://instagram.com/beautiful_day36,"퀄리티있는 커피와 함께 드실수있는 수제디저트를 대표의 손맛으로 직접 만들어 서비스를 제공하며 판매하고있어요~예쁜하루카페의 대표 디저트로는 수제마카롱이있으며 수제청,구움과자,견과류,수제타르트~등 다양하게 구매하실수 있어요",NO INFO,"{'디저트가 맛있어요': '22', '친절해요': '13', '음료가 맛있어요': '8', '매장이 청결해요': '8', '특별한 메뉴가 있어요': '6', '커피가 맛있어요': '5', '대화하기 좋아요': '4', '인테리어가 멋져요': '3', '가성비가 좋아요': '3', '좌석이 편해요': '2', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1'}",35.8171124,128.6445761
카페 헤이닷,0.0,206,51,"대구 수성구 지범로48길 21 상가 302동 120,121호","10:00 - 22:00
21:50 라스트오더",0507-1340-6415,https://www.instagram.com/heidat.cafe/,따뜻하고 편안한 공간이 되고자 노력하는 카페 헤이닷입니다. 주차 : 상가 주차장에 무료 주차가 가능하며 도착 3분 전 전화주세요. 애견동...,NO INFO,"{'커피가 맛있어요': '45', '음료가 맛있어요': '30', '친절해요': '28', '인테리어가 멋져요': '23', '좌석이 편해요': '22', '대화하기 좋아요': '22', '디저트가 맛있어요': '21', '매장이 청결해요': '20', '사진이 잘 나와요': '15', '특별한 메뉴가 있어요': '10', '뷰가 좋아요': '9', '가성비가 좋아요': '8', '집중하기 좋아요': '8', '화장실이 깨끗해요': '3'}",35.8155961,128.6451873
몬스터커피 범물점,4.42,161,0,대구 수성구 지범로48길 21 수성하늘채르레브 상가 302동 116호,"08:00 - 22:00
21:50 라스트오더",053-783-9424,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '66', '가성비가 좋아요': '51', '친절해요': '41', '음료가 맛있어요': '38', '매장이 청결해요': '17', '디저트가 맛있어요': '8', '특별한 메뉴가 있어요': '4', '사진이 잘 나와요': '2', '좌석이 편해요': '1', '인테리어가 멋져요': '1', '대화하기 좋아요': '1', '뷰가 좋아요': '1'}",35.8150438,128.6439446
만랩커피 대구수성범물점,4.5,124,23,대구 수성구 지범로48길 21 수성하늘채르레브단지내상가 302동 113호,"09:00 - 22:00
21:55 라스트오더",053-782-7420,NO INFO,"※ SCAA 상위 7% 최상급 <스페셜티>등급의 4가지 원두를 놀라운 가격으로 즐기실 수 있는 10000LAB COFFEE입니다.

※ 현지 스페셜티 원두 직수입 및 직접 로스팅을 통해 원가를 낮추고, 스페셜티 대중화를 위해 최소 마진만 책정하여 국내 최초로 2천원대 가격으로 최고의 스페셜티 커피를 선보입니다.",NO INFO,"{'커피가 맛있어요': '62', '음료가 맛있어요': '40', '가성비가 좋아요': '25', '친절해요': '24', '매장이 청결해요': '14', '디저트가 맛있어요': '11', '대화하기 좋아요': '9', '특별한 메뉴가 있어요': '5', '인테리어가 멋져요': '4', '좌석이 편해요': '3', '사진이 잘 나와요': '1', '집중하기 좋아요': '1', '화장실이 깨끗해요': '1'}",35.8150438,128.6439446
트리오브헤븐,4.17,23,0,대구 수성구 지범로48길 28,NO INFO,0507-1347-7770,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '12', '집중하기 좋아요': '4', '친절해요': '3', '매장이 청결해요': '3', '인테리어가 멋져요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '디저트가 맛있어요': '1', '음료가 맛있어요': '1', '가성비가 좋아요': '1'}",35.8150844,128.6434939
선향다예관,0.0,29,21,대구 수성구 지범로48길 28 선향다예관 1층,NO INFO,053-783-1101,http://instagram.com/teahouse_sunhyang,야생화가 가득한 넓은 정원이 있는 전통찻집입니다. 중국과 대만의 명차들을 두루 맛보실 수 있고 여러가지의 대용차도 맛보실 수 있습니다.,NO INFO,{},35.8150844,128.6434939
투썸플레이스 대구범물점,4.36,517,50,대구 수성구 지범로52길 61,08:00 - 23:00,053-784-1725,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '101', '디저트가 맛있어요': '68', '친절해요': '66', '뷰가 좋아요': '66', '음료가 맛있어요': '58', '좌석이 편해요': '57', '대화하기 좋아요': '52', '매장이 청결해요': '44', '인테리어가 멋져요': '32', '집중하기 좋아요': '23', '주차하기 편해요': '15', '화장실이 깨끗해요': '14', '특별한 메뉴가 있어요': '9', '사진이 잘 나와요': '7', '가성비가 좋아요': '3', '차분한 분위기에요': '1'}",35.8140391,128.6451198
엘리먼트비,0.0,61,26,"대구 수성구 지범로52길 86 2, 3층","12:00 - 22:00
21:30 라스트오더",0507-1467-0260,https://www.instagram.com/cafe_element_b,"범물동에 새롭게 오픈하였습니다.
오시는 분들이 저희매장에서 새로운 경험을 하셨으면 합니다.

*건물특성상 계단이 많습니다!
 매장 1층까지 키즈존이고 위쪽층으로는
 노키즈존으로 운영하고 있습니다.",NO INFO,"{'커피가 맛있어요': '23', '인테리어가 멋져요': '23', '좌석이 편해요': '16', '매장이 청결해요': '16', '뷰가 좋아요': '16', '음료가 맛있어요': '15', '사진이 잘 나와요': '13', '친절해요': '12', '대화하기 좋아요': '12', '디저트가 맛있어요': '9', '화장실이 깨끗해요': '9', '가성비가 좋아요': '5', '집중하기 좋아요': '5', '특별한 메뉴가 있어요': '4', '주차하기 편해요': '2'}",35.8262232,128.626497
꿀리,0.0,6,5,대구 수성구 지산동 1294-12,10:30 - 22:00,053-781-1470,NO INFO,"카페꿀리는 핸드드립커피 전문점으로서 고객들이 여유를 가지고 조금 더 깊이 있는 커피를 즐길수 있는 공간이 되기 위해
노력하는 카페가 되겠습니다..",NO INFO,{},35.8255497,128.6394627
버치브롯,4.61,21,0,대구 수성구 지산로 32 우방타운 상가 B4호,NO INFO,0507-1378-1480,http://instagram.com/birchbrot,"쿠키클래스/그림클래스/지산동화실/그림화실

좋은 재료로 모든 디저트를 직접 만들어 판매합니다 :)
클래스/디저트판매/커피/쿠키/스콘/기타",NO INFO,{},35.8236614,128.6339074
티스테이,0.0,37,4,대구 수성구 지산로11길 7,NO INFO,NO INFO,NO INFO,NO INFO,NO INFO,"{'친절해요': '13', '특별한 메뉴가 있어요': '12', '매장이 청결해요': '9', '가성비가 좋아요': '7', '커피가 맛있어요': '5', '디저트가 맛있어요': '5', '음료가 맛있어요': '5', '대화하기 좋아요': '5', '인테리어가 멋져요': '4', '주차하기 편해요': '3', '사진이 잘 나와요': '2', '좌석이 편해요': '1', '화장실이 깨끗해요': '1'}",35.8261146,128.6329232
카페지봉,0.0,12,2,대구 수성구 지산로14길 122-6,11:00 - 18:00,010-8868-5272,NO INFO,인테리어 전문업체 라온디자인에서 직접운영하 는 카페지봉입니다. 젊은 감각으로 인테리어한 카페지봉에서 맛있는 커피와 디저트도 드...,NO INFO,{},35.825419,128.6401238
차우림,0.0,161,44,대구 수성구 지산로9길 22,NO INFO,0507-1445-5524,http://chaurim.modoo.at,"샌드위치/ 중국차/ 커피콩빵/ 대구맛집/ 대구전통차/ 대구찻집/ 보이차/ 홍차카페

*단체주문 환영*
자체 제작스티커(원하시는 문구)로 회식, 축하연,생일, 집들이 등 단체주문시 예쁘게 준비해서 보내드립니다.

*매월 마지막 일요일 휴무",NO INFO,"{'커피가 맛있어요': '31', '친절해요': '31', '디저트가 맛있어요': '25', '음료가 맛있어요': '20', '가성비가 좋아요': '17', '대화하기 좋아요': '16', '인테리어가 멋져요': '10', '차분한 분위기에요': '9', '매장이 청결해요': '9', '종류가 다양해요': '9', '아늑해요': '6', '좌석이 편해요': '5', '특별한 메뉴가 있어요': '3', '집중하기 좋아요': '3', '매장이 넓어요': '2', '화장실이 깨끗해요': '2'}",35.8258959,128.6325635
welikecake,0.0,8,12,대구 수성구 천을로 167-1 102호,NO INFO,0507-1355-0639,http://pf.kakao.com/_Pnqcb,"100%동물성 생크림과 크림치즈로 제작되어요:)
주문제작 케이크, 디자인 케이크, 레터링 케이크, 커스텀 케이크
케이크 샘플은 인스타그램 welike_cake 에서 확인해주세요.
예약은 카카오톡 [위라이크케이크] 로 문의주세요.",NO INFO,{},35.843924,128.7090294
카페 공구이육사,4.64,219,0,대구 수성구 천을로 173 1층,NO INFO,053-792-6120,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '90', '친절해요': '27', '대화하기 좋아요': '16', '음료가 맛있어요': '13', '매장이 청결해요': '10', '집중하기 좋아요': '8', '가성비가 좋아요': '6', '좌석이 편해요': '5', '디저트가 맛있어요': '3', '화장실이 깨끗해요': '2', '인테리어가 멋져요': '1', '주차하기 편해요': '1'}",35.8438636,128.7096187
마이리틀퐁,4.75,53,17,대구 수성구 천을로 36 theheaven 1층,NO INFO,0507-1389-8537,NO INFO,애견 동반가능한 카페입니다!,NO INFO,"{'커피가 맛있어요': '27', '친절해요': '19', '매장이 청결해요': '15', '인테리어가 멋져요': '14', '음료가 맛있어요': '12', '디저트가 맛있어요': '11', '집중하기 좋아요': '8', '대화하기 좋아요': '7', '특별한 메뉴가 있어요': '5', '화장실이 깨끗해요': '4', '좌석이 편해요': '3', '가성비가 좋아요': '3', '주차하기 편해요': '2', '사진이 잘 나와요': '2', '뷰가 좋아요': '1'}",35.8452051,128.6947032
아틀리에빈 고산점,4.31,373,24,대구 수성구 천을로 60 아틀리에빈,08:00 - 24:00,053-791-1307,http://www.vinn.co.kr/,모던&심플,NO INFO,"{'커피가 맛있어요': '38', '대화하기 좋아요': '22', '매장이 청결해요': '12', '좌석이 편해요': '11', '가성비가 좋아요': '11', '디저트가 맛있어요': '10', '음료가 맛있어요': '8', '친절해요': '8', '인테리어가 멋져요': '6', '주차하기 편해요': '5', '사진이 잘 나와요': '4', '집중하기 좋아요': '4', '화장실이 깨끗해요': '3', '뷰가 좋아요': '3', '특별한 메뉴가 있어요': '1'}",35.8451945,128.69716
카페블루,0.0,7,5,대구 수성구 천을로31길 7-14,NO INFO,NO INFO,NO INFO,NO INFO,NO INFO,{},35.84487360000001,128.7070749
카페 클레오파트라,3.92,29,28,대구 수성구 청솔로 122,10:00 - 23:00,053-754-9955,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '10', '친절해요': '6', '음료가 맛있어요': '4', '인테리어가 멋져요': '4', '대화하기 좋아요': '4', '특별한 메뉴가 있어요': '3', '주차하기 편해요': '1', '사진이 잘 나와요': '1', '매장이 청결해요': '1', '화장실이 깨끗해요': '1'}",35.8575776,128.6213616
마쥬,4.42,302,67,대구 수성구 청솔로 124-16 1F,NO INFO,053-742-2112,http://cakeboutiquemaje.com/,"대구시 수성구 범어동 807-22, 1F
천연재료와 유기농 제철 재료를 이용한
디저트를 선보이는
케이크전문 디저트샵입니다
생일, 돌,기념일 등
특별한 날 특별한 케이크를 선물해 보세요
진심이 담긴 디저트 , 마쥬입니다",NO INFO,"{'디저트가 맛있어요': '118', '커피가 맛있어요': '64', '친절해요': '44', '선물하기 좋아요': '31', '매장이 청결해요': '28', '특별한 메뉴가 있어요': '27', '음료가 맛있어요': '26', '대화하기 좋아요': '25', '인테리어가 멋져요': '15', '집중하기 좋아요': '5', '사진이 잘 나와요': '4', '주차하기 편해요': '2', '가성비가 좋아요': '2', '화장실이 깨끗해요': '2', '뷰가 좋아요': '2'}",35.8569332,128.6213896
텐퍼센트커피 대구황금엘포레점,0.0,258,4,대구 수성구 청솔로 16 힐스테이트 황금 엘포레,NO INFO,0507-1428-8816,http://www.tenpercentcoffee.com/,겨울에도 따뜻하고 편한 대기공간과 아늑하고 넓은 실내공간이 준비되어 있습니다.,NO INFO,"{'커피가 맛있어요': '137', '음료가 맛있어요': '79', '친절해요': '78', '매장이 청결해요': '69', '가성비가 좋아요': '46', '인테리어가 멋져요': '44', '대화하기 좋아요': '28', '디저트가 맛있어요': '22', '주차하기 편해요': '21', '사진이 잘 나와요': '17', '특별한 메뉴가 있어요': '16', '좌석이 편해요': '15', '집중하기 좋아요': '7', '뷰가 좋아요': '7'}",35.8476878,128.6227204
설렘본점,4.33,32,0,대구 수성구 청솔로 46 1층,08:30 - 23:00,0507-1364-9457,http://sulremcafe.co.kr,NO INFO,NO INFO,"{'음료가 맛있어요': '18', '커피가 맛있어요': '15', '디저트가 맛있어요': '9', '친절해요': '8', '가성비가 좋아요': '4', '특별한 메뉴가 있어요': '4', '매장이 청결해요': '2'}",35.8506448,128.6208078
흐드러진커피,4.82,87,225,"대구 수성구 청솔로 57 1층, 흐드러진커피",11:00 - 20:00,010-4681-9876,http://www.instagram.com/hdrj_coffee,2022 Korea Brewers Cup Championship 센서리 심사위원 2022 Korea Coffee in Good Spirits 센 서리 심사위원 2021 대구커피챔피언쉽 심...,NO INFO,"{'커피가 맛있어요': '24', '친절해요': '13', '음료가 맛있어요': '10', '매장이 청결해요': '8', '집중하기 좋아요': '8', '대화하기 좋아요': '8', '인테리어가 멋져요': '7', '디저트가 맛있어요': '6', '가성비가 좋아요': '6', '사진이 잘 나와요': '3', '특별한 메뉴가 있어요': '2', '화장실이 깨끗해요': '2', '좌석이 편해요': '1'}",35.8516522,128.6205521
살랑커피,0.0,12,20,대구 수성구 청솔로 6 1층,"09:00 - 23:00
22:55 라스트오더",0507-1332-8328,https://www.instagram.com/cafedam6,"안녕하세요 살랑커피 입니다.
수제 와플과 베이커리 및 커피 음료를 제공하는 업체 입니다.
많관부!!",NO INFO,"{'커피가 맛있어요': '10', '친절해요': '6', '음료가 맛있어요': '5', '가성비가 좋아요': '4'}",35.8470766,128.6205433
레디투커피,0.0,22,5,대구 수성구 청솔로 71 1층,"08:00 - 20:30
20:00 라스트오더",0507-1399-5530,NO INFO,스페셜티 커피전문점 & 수제디저트 카페입니다.,NO INFO,"{'친절해요': '15', '커피가 맛있어요': '13', '음료가 맛있어요': '13', '특별한 메뉴가 있어요': '10'}",35.8530527,128.6206897
레프트뱅크커피 범어에일린점,0.0,26,3,대구 수성구 청솔로14길 15 B119호 상가 1층,NO INFO,053-768-9211,NO INFO,"주차가능합니다. 매장 앞에서 리모컨 받아가시면
넓은 공간에 주차 편하게 하실 수 있습니다.

지루한 일상에 다채로운 한모금을 선사해드립니다.
안녕하세요 레프트뱅크커피 범어에일린점입니다.",NO INFO,"{'커피가 맛있어요': '11', '친절해요': '10', '가성비가 좋아요': '6', '음료가 맛있어요': '5', '좌석이 편해요': '2', '디저트가 맛있어요': '2', '사진이 잘 나와요': '2', '특별한 메뉴가 있어요': '2', '매장이 청결해요': '2', '집중하기 좋아요': '2', '대화하기 좋아요': '2', '인테리어가 멋져요': '1'}",35.8523171,128.6219925
블루샥 대구범어점,0.0,267,24,대구 수성구 청솔로14길 15 범어에일린의뜰 상가동 B106호,08:00 - 20:30,0507-1477-1051,https://www.instagram.com/blushaak_beomeo_,"블루샥의 원두는 부드럽고 깊은 바디감의 나이트, 디카페인 중에 선택 가능하세요~
직접 만드는 부드러운 수제 크림이 올라간 샥라떼 한번 드셔 보세요!!!!!
매일 아침 굽는 베이커리류도 맛있습니다.",NO INFO,"{'커피가 맛있어요': '202', '음료가 맛있어요': '144', '친절해요': '136', '매장이 청결해요': '122'}",35.8523171,128.6219925
노바디커피클럽,0.0,135,117,대구 수성구 청솔로14길 16 1층,"08:00 - 20:00
19:30 라스트오더",0507-1486-0714,https://www.instagram.com/nobodycoffeeclub,라떼맛집!!락토프리! 범어동카페!! 상하목장유기 농아이스크림!! 안녕하세요. 수성구민운동장역 인근 향긋한 커피와 맛있는 디저트로 많은...,NO INFO,"{'커피가 맛있어요': '116', '친절해요': '80', '인테리어가 멋져요': '73', '사진이 잘 나와요': '62', '디저트가 맛있어요': '53', '음료가 맛있어요': '39', '가성비가 좋아요': '26', '매장이 청결해요': '23', '특별한 메뉴가 있어요': '4', '대화하기 좋아요': '4', '뷰가 좋아요': '4', '집중하기 좋아요': '2', '좌석이 편해요': '1', '주차하기 편해요': '1'}",35.8512348,128.6216663
켑트커피 범어,0.0,145,84,대구 수성구 청솔로14길 28 1층,NO INFO,0507-1371-8335,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '82', '디저트가 맛있어요': '72', '친절해요': '66', '음료가 맛있어요': '48', '매장이 청결해요': '43', '인테리어가 멋져요': '40', '특별한 메뉴가 있어요': '30', '대화하기 좋아요': '29', '좌석이 편해요': '15', '화장실이 깨끗해요': '15', '집중하기 좋아요': '13', '가성비가 좋아요': '11', '사진이 잘 나와요': '10', '주차하기 편해요': '7', '뷰가 좋아요': '3'}",35.8511875,128.6223407
카페생활,0.0,19,3,대구 수성구 청솔로14길 41 1층,12:00 - 24:00,053-710-7412,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '7', '음료가 맛있어요': '7', '디저트가 맛있어요': '4', '가성비가 좋아요': '3'}",35.8513835,128.6230837
마루모리카페,4.7,40,53,대구 수성구 청솔로22길 13-9,NO INFO,053-767-0710,NO INFO,"5/8-5/22까지 일본 출장으로 휴무입니다. 불편을 드려 죄송합니다.
영업시간외 모임예약 가능합니다. 식사(함박,카레우동), 기존 마루모리 음료가능, 맥주가능(술안주 야끼우동,모듬튀김)",NO INFO,"{'커피가 맛있어요': '6', '디저트가 맛있어요': '4', '음료가 맛있어요': '4', '특별한 메뉴가 있어요': '3', '인테리어가 멋져요': '2', '친절해요': '2', '대화하기 좋아요': '2', '좌석이 편해요': '1', '사진이 잘 나와요': '1', '매장이 청결해요': '1'}",35.8537397,128.6217184
또리커피 수성점,0.0,23,10,대구 수성구 청솔로2길 53 1층,00:00 - 24:00,0507-1390-0448,NO INFO,NO INFO,NO INFO,"{'디저트가 맛있어요': '13', '가성비가 좋아요': '13', '커피가 맛있어요': '12', '친절해요': '11'}",35.8472142,128.6234114
유엠엠커피,0.0,35,6,대구 수성구 청솔로6길 15 1층,09:00 - 02:00,0507-1330-9799,https://www.instagram.com/,"황금동에 위치한 테이크아웃 전문 카페입니다
작게나마 자리도 마련되어 있으니 언제든지 오셔서 편하게 쉬다가셔요!!
저희UMMCOFFEE는 산미없이 진하고 고소한 원두를 사용하고 있습니다
주디저트는 옛날와플(아메리칸와플)이며 츄러스, 케잌등이 있습니다 :)",NO INFO,"{'커피가 맛있어요': '22', '음료가 맛있어요': '8', '인테리어가 멋져요': '8', '가성비가 좋아요': '8', '친절해요': '5', '특별한 메뉴가 있어요': '5', '사진이 잘 나와요': '4', '매장이 청결해요': '3', '좌석이 편해요': '2', '디저트가 맛있어요': '2', '대화하기 좋아요': '2'}",35.8487726,128.6213008
셀프바리스타 황금점,0.0,51,31,대구 수성구 청수로 108 1층 셀프바리스타,00:00 - 24:00,0507-1353-5056,https://selfbarista.creatorlink.net/,"'셀프바리스타'는 2018년 KCTC(Korea Cup Taster Championship) 국가대표 챔피언 M9 커피컴퍼니 '강민규' 바리스타와 함께 만들어가는 24시간 프리미엄 무인 카페입니다. 다양한 커피, 음료, 빵이 준비되어 있으며 편안한 분위기가 장점인 24시간 연중무휴 운영되는 프리미엄 카페입니다.",NO INFO,"{'커피가 맛있어요': '20', '디저트가 맛있어요': '18', '가성비가 좋아요': '18', '음료가 맛있어요': '16'}",35.8398891,128.6199327
파스쿠찌 대구황금점,4.43,836,40,대구 수성구 청수로 130 (두산동) 두산동 94-2,00:00 - 24:00,053-766-8497,http://www.caffe-pascucci.co.kr/,파스쿠찌 대구황금점입니다. 네이버 스마트주문에서 간편하게 주문하세요!,NO INFO,"{'커피가 맛있어요': '184', '주차하기 편해요': '100', '디저트가 맛있어요': '93', '음료가 맛있어요': '92', '친절해요': '83', '대화하기 좋아요': '77', '좌석이 편해요': '55', '매장이 청결해요': '43', '집중하기 좋아요': '32', '인테리어가 멋져요': '31', '특별한 메뉴가 있어요': '30', '화장실이 깨끗해요': '30', '가성비가 좋아요': '26', '뷰가 좋아요': '15', '사진이 잘 나와요': '4'}",35.8397216,128.6224694
공차 대구황금점,0.0,143,1,대구 수성구 청수로 176 1층,"10:00 - 23:00
22:30 라스트오더",053-767-6336,NO INFO,NO INFO,NO INFO,"{'음료가 맛있어요': '88', '매장이 청결해요': '39', '친절해요': '37', '차가 맛있어요': '33', '가성비가 좋아요': '25', '특별한 메뉴가 있어요': '20', '좌석이 편해요': '18', '디저트가 맛있어요': '15', '주차하기 편해요': '14', '대화하기 좋아요': '13', '집중하기 좋아요': '7', '음식이 빨리 나와요': '3', '인테리어가 멋져요': '2', '비싼 만큼 가치있어요': '1', '룸이 잘 되어있어요': '1'}",35.8388995,128.6274897
CUS COFFEE,4.76,58,0,대구 수성구 청수로 235 종합상가동 2층 214호,NO INFO,053-767-1306,http://instagram.com/cuscoffee__,NO INFO,NO INFO,"{'커피가 맛있어요': '8', '친절해요': '6', '대화하기 좋아요': '5', '좌석이 편해요': '4', '디저트가 맛있어요': '2'}",35.8417395,128.633869
황금점핑&찜질카페,0.0,2,109,대구 수성구 청수로 256-1 2층,NO INFO,0507-1352-6997,https://open.kakao.com/o/szN8O4vc,"30분에 500칼로리 소모 점핑운동
내장지방+독소배출 원적외선 편백 찜질
몸매관리/ 내장지방관리/ 체지방관리/
면역력 독소관리/ 체력 컨디션 관리/가 필요한 여성분들을 위한 공간입니다^^
10년경력 간호사출신 체육지도사자격이있는 코치가 안전하고 신나는 점핑운동 서포트 해드려요^^ 24시간 상담환영해요",NO INFO,{},35.8404525,128.6363539
오하커피,0.0,49,2,대구 수성구 청수로 27 오하커피,NO INFO,0503-6210-6277,https://www.instagram.com/ohacoffe_e,"안녕하세요 오하커피입니다:)

샌드위치 주문이 들어오면 즉시 만들기 때문에
5개 이상부터는 1시간 전 미리 매장으로 전화부탁드려요 (오래 기다리지 않고 받으실 수 있어요!!)

10개 이상의 단체주문은 미리 연락해주세요
053 761 1717",NO INFO,"{'친절해요': '35', '커피가 맛있어요': '28', '매장이 청결해요': '19', '디저트가 맛있어요': '18', '음료가 맛있어요': '17', '가성비가 좋아요': '17', '대화하기 좋아요': '7', '특별한 메뉴가 있어요': '6', '인테리어가 멋져요': '3', '좌석이 편해요': '1', '사진이 잘 나와요': '1', '집중하기 좋아요': '1'}",35.841126,128.6110032
리움,4.49,110,0,대구 수성구 청수로 511,11:00 - 22:00,053-751-1020,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '35', '친절해요': '31', '음료가 맛있어요': '21', '대화하기 좋아요': '16', '가성비가 좋아요': '14', '디저트가 맛있어요': '9', '매장이 청결해요': '6', '특별한 메뉴가 있어요': '5', '뷰가 좋아요': '5', '인테리어가 멋져요': '4', '화장실이 깨끗해요': '4', '집중하기 좋아요': '3', '좌석이 편해요': '1', '주차하기 편해요': '1'}",35.8495104,128.6568829
여가투고,0.0,5,1,대구 수성구 청수로1길 12 1층 여가투고,NO INFO,0507-1347-4910,https://www.instagram.com/yeoga_togo,"대구 수성구 중동 희귀식물카페 여가투고 입니다.

고가의 희귀식물이 있는 관계로 예약제로 운영 되고있습니다.

예약은 인스타 @yeoga_togo DM으로 연락주세요.

외부관람은 가능합니다.

식물원에는 노키즈존입니다.

대봉동 한옥카페 여가
대구 중구 달구벌대로446길 18-14

중동 식물카페 여가투고
대구 수성구 중동 청수로1길12 1층 여가투고",NO INFO,{},35.8417409,128.6087982
마가렛루멘,4.99,294,158,대구 수성구 청수로20길 47 마가렛루멘,NO INFO,0507-1345-3086,http://instagram.com/magaretlumen_official,NO INFO,NO INFO,"{'디저트가 맛있어요': '180', '친절해요': '168', '커피가 맛있어요': '123', '특별한 메뉴가 있어요': '113', '음료가 맛있어요': '91', '매장이 청결해요': '77', '인테리어가 멋져요': '73', '사진이 잘 나와요': '49', '가성비가 좋아요': '46', '대화하기 좋아요': '20', '화장실이 깨끗해요': '8', '집중하기 좋아요': '6', '주차하기 편해요': '5', '좌석이 편해요': '3', '뷰가 좋아요': '3'}",35.8393467,128.6208689
차마을 다향,0.0,7,6,대구 수성구 청수로24길 36,10:00 - 21:00,010-9360-3914,NO INFO,"청도군 청도읍 부야리,
산들이 겹쳐 깊은 골짜기를 이루는 곳에서
'다향' 효소차의 원재료가 탄생합니다.

참나무 뿌리를 훑어 흐르는 맑은 산물과
깨끗한 바람이 키워 낸
산딸기, 개복숭, 감...

사람이 재배한 것들과는
맛과 향, 영양을 비교할 수 없는 재료를 
하나하나 직접 수확해
여러 해 동굴 속에서 발효시키면
비로소 '다향' 효소차가 완성됩니다.

이 한 잔에 담긴 건강을
여러분과 나누고 싶습니다.",NO INFO,{},35.8384344,128.6211928
몬스터커피 두산점,4.58,159,0,대구 수성구 청수로24길 59 1층 105호,08:00 - 24:00,053-219-9620,NO INFO,NO INFO,NO INFO,"{'커피가 맛있어요': '46', '가성비가 좋아요': '21', '음료가 맛있어요': '18', '친절해요': '13', '매장이 청결해요': '8'}",35.8406625,128.6107424
